; 교차 합성 흡수 스테이징 v0.5 — 무좌석 T4 다이어트: 20건 T3 강등(감각차폐·순백인형=체인 편입분 좌석 인정 유지)
; 교차 합성 흡수 스테이징 v0.4 — T2 합성 산출 전면 폐지(공식 정정): 잔여 T2 산출 8=육성 직접 전환(레시피 편입 제외). 티어다운 T1 26=선천 풀 확정(레시피 폐기 확정)
; 교차 합성 흡수 스테이징 v0.3 — 규칙⑥ 처리: T2 종착 15 → T3 승급 7(감언독·구속애착·제로 리미트·인형화·금욕적 섭취·쾌락의 조각상·순종속박) + 상향 배선 9(chains 참조)
; 교차 합성 흡수 스테이징 v0.2 (2026-07-17) — 미등재 재작: 병합 10(수치심과잉=공백·질투→질투많음·쾌활→명랑·독점욕→소유욕·자존심→프라이드높음·고집→완고·무감정→무감정(표면) + 잠정: 잔혹→냉혹·재생→자기수복·돌진→분쇄돌진) + 신규 7(온순·냉정 PT / 위장·질풍·흡수·수면독·포효 CT)
; 재검증: 재료 완비 115/115
; ⚠극 T3 승급(2026-07-17)으로 티어 재검토 필요 레시피: 유격병 · 심판관 · 순결의 역설 · 온기전파 (T2+T3 조합이 됨 — 편입 시 재티어)
; 임계돌파↔한계돌파 = 병합 완료(2026-07-17, 임계돌파→한계돌파 흡수 — 위임 처리)
sec|src|mat1|mat1존재|mat2|mat2존재|result|resultCat|tier|tierdown|effect
전투(CT) × 성격(PT)|C|암습|O|소심|O|잠복본능|CT|T3||첫 라운드 AP +1, 첫 공격 dmgMul 1.8, 선제 +25%
전투(CT) × 성격(PT)|C|결속사|O|의존|O|공생결박|AT|T3|⬇|discipline 시 쾌감 30% 공유. 세션 후 love +3
전투(CT) × 성격(PT)|C|포효|O|지배욕|O|위압장|CT|T3||첫 라운드 적 전체 SPD -20%. sound:"저주파 울림"
전투(CT) × 성격(PT)|C|자기수복|O|헌신|O|자기희생(CT)|CT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 아군 area 피해 30% 흡수 + HP 재생. love 50↑ 재생 ×2
전투(CT) × 성격(PT)|C|독무|O|교활|O|감언독|AT|T3|⬇|[T3 승급 2026-07-17 — 효과 T3급 판정·규칙⑥] 쾌감 50당 반감 상승 -10% (최대 -50%)
전투(CT) × 성격(PT)|C|섬광참|O|호기심|O|분석안|CT|T3||적 원소 방어 최저 감지. 해당 속성 공격 dmgMul +0.3
전투(CT) × 성격(PT)|C|냉기방사|O|냉정|O|동토의 고요|PT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] temp:"한랭"+visual:"서리". 반감 -2/월, 욕정 상승 -30%
전투(CT) × 성격(PT)|C|마비촉수|O|밀착|O|구속애착|AT|T3|⬇|[T3 승급 2026-07-17 — 효과 T3급 판정·규칙⑥] discipline 감도 ×1.5. love +3/회
전투(CT) × 성격(PT)|C|과부하|O|완고|O|한계돌파|CT|T3|⬇|HP 20%↓ 시 ATK +40%. 전투 후 다음 전투 AP -2
전투(CT) × 성격(PT)|C|위장|O|변덕|O|변이적응|BT|T3||원소 방어 자동 전환(적 주속성 +20%). 스태미나 -25%
전투(CT) × 성격(PT)|G|암습|O|냉혹|O|처형인|CT|T3||위 속성. HP 30%↓ 적 dmgMul 2.0. 처치 시 적 ATK -10%
전투(CT) × 성격(PT)|G|철벽|O|완고|O|부동성채|CT|T3||defend 시 DEF ×3. 해당 라운드 공격 불가
전투(CT) × 성격(PT)|G|마비독|O|교활|O|함정술사|CT|T3||광(독). 첫 라운드 적 전체 SPD -15%(2R). 함정 회피 +20%
전투(CT) × 성격(PT)|G|질풍|O|명랑|O|유격병|CT|T3||동 속성. 라운드마다 ATK +5%(최대 +25%). SPD +2
전투(CT) × 성격(PT)|G|업화|O|지배욕|O|폭군|PT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 시설 효율 +20%. 같은 시설 resentment -3/월, love -2/월
전투(CT) × 성격(PT)|G|과부하|O|완고|O|임계돌파|CT|T3|⬇|[병합→한계돌파 흡수 2026-07-17: 동일 재료·동일 컨셉 AI 쌍둥이. 위기 보정 결(피격-50%)은 한계돌파 효과 저작 시 참고] HP 10%↓ 시 ATK +80%, 피격 -50%. 2R 후 AP 0
전투(CT) × 성격(PT)|G|섬광참|O|프라이드높음|O|심판관|CT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 광 속성. SPD -20% 디버프. dmgMul 1.3
전투(CT) × 성격(PT)|G|정밀절개|O|결벽|O|박리사|BT|T3|⬇|workshop 부산물 희귀도 +1. 분쇄기 부산물 +30%
전투(CT) × 성격(PT)|G|부식장|O|냉정|O|정적의 부패|PT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 적 ATK -15%(2R). sound 태그 제거
전투(CT) × 성격(PT)|G|결속사|O|소유욕|O|거미의 포옹|AT|T3|⬇|discipline ×2. resentment -50%. 비각인 대상 +5/회
성격(PT) × 성인(AT)|C|수줍음|O|수치심 과잉|O|수치전이|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 수치→쾌감 ×0.3 변환. 임계 시 자동 절정
성격(PT) × 성인(AT)|C|헌신|O|헌신반응|O|무조건봉사|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 봉사 시 쾌감 +5. 감도 미세 상승
성격(PT) × 성인(AT)|C|지배욕|O|S기질|O|역위|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] discipline 행위 시 조교자 쾌감 누적(대상의 30%)
성격(PT) × 성인(AT)|C|호기심|O|미경험|O|백지탐색|AT|T3||미경험 행위 감도 ×3. 경험 후 T2로 퇴화
성격(PT) × 성인(AT)|C|온순|O|가소성|O|순백인형|PT|T4||조교 방향에 따라 PT 1개 자동 획득. 정체성 결정
성격(PT) × 성인(AT)|C|소유욕|O|집착결속|O|각인독점|AT|T3||비각인 접촉 시 반감 +10. 각인 대상 감도 ×1.5
성격(PT) × 성인(AT)|C|냉혹|O|고통변환|O|가학환류|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 가한 고통의 0.5배→자기 쾌감
성격(PT) × 성인(AT)|C|무감정(표면)|O|둔감체질|O|공백|PT|T3||글로벌 상태 변동 -50%. 임계 초과 시 전수치 ×2
성격(PT) × 성인(AT)|C|의존|O|신뢰개방|O|전신위탁|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] love 비례 감도(100=×2.0). resentment 10↑ 시 ×0.3
성격(PT) × 성인(AT)|C|경계심|O|순결벽|O|불가침|PT|T3||강도 3↑ 시 resentment +8. love 60↑ 해금 시 감도 +25%
성격(PT) × 성인(AT)|G|의존|O|집착결속|O|정서적 노예|AT|T3|⬇|love 80↑ 경험치 ×1.5. love 40↓ 경험치 ×0.5
성격(PT) × 성인(AT)|G|겁없음|O|과감도|O|제로 리미트|AT|T3|⬇|[T3 승급 2026-07-17 — 효과 T3급 판정·규칙⑥] senMul 상한 확장(2.5→3.5). 절정 시 pain +10
