; splitWhen(선택) = 쌍별 분열 조건 override, condition DSL "stat:cmp:value". 빈칸=기본 규칙(붕괴도>=1 or 침염부정>=3). 발동 규칙 v1 = trait_contradiction_pairs.md
; v3 (2026-07-17): 승격 7쌍 추가(극 T3→잎 T4 — 별잎 세트. 통합=긍정성명/분열=부정성명 배치: 태백=통합·형혹=분열, 세성=통합·진성=분열). v2: 극·통합형·분열형 = 트레잇 id (이름 매칭 오발동 차단 — 정합 패스). 이름 표시는 로더가 레지스트리에서 복원
category,poleA,poleB,통합형,분열형,splitWhen
성격,PT_TIMID,PT_FEARLESS,PT_CRISIS_SENSE,PT_PANIC,
성격,PT_SENSITIVE,PT_DULL,PT_EMOTION_CONTROL,PT_DISSOCIATION,
성격,PT_CONFIDENT,PT_SELF_DOUBT,PT_PRIDE_TRUE,PT_SELF_DESTRUCT,
성격,PT_OPTIMIST,PT_PESSIMIST,PT_EQUANIMITY,PT_UNSTABLE_MIND,
성격,PT_HONEST,PT_TSUNDERE,PT_CONSISTENCY,PT_CAPRICE,
성격,PT_SOCIABLE,PT_INTROVERTED,PT_SAVOIR,PT_SOCIAL_ANXIETY,
성격,PT_DILIGENT,PT_LAZY,-,PT_MOOD_SWINGS,
성격,PT_CURIOUS,PT_CONSERVATIVE,PT_BALANCED_INQUIRY,PT_INDECISIVE,
성인,AT_SADIST,AT_MASOCHIST,AT_DUAL_TASTE,AT_SADO_CONFUSION,
성인,AT_NUMB_CONSTITUTION,AT_HYPERSENSITIVITY,AT_SENSE_CONTROL,AT_SENSE_OVERLOAD,
성인,AT_HONEST_PLEASURE,AT_DENIAL,AT_DEEP_EXPRESSION,AT_PARADOX_RESPONSE,
성인,AT_WET_EASY,AT_DRY_CONSTITUTION,AT_LUBRIC_ADAPT,AT_BODY_DISCORD,
신체,BT_SMALL_FRAME,BT_LARGE_FRAME,BT_SHAPESHIFT,BT_FORM_UNSTABLE,
신체,BT_RESILIENT,BT_FRAGILE,BT_COND_STURDY,BT_STAMINA_SWING,
신체,BT_FLEXIBLE,BT_RIGID,BT_ADAPTIVE_BODY,BT_SPASM,
신체,BT_RECOVER_FAST,BT_RECOVER_SLOW,BT_HOMEOSTASIS,BT_ERRATIC_RECOVERY,
성격,PT_CHEERFUL,PT_GLOOMY,PT_CLEAR_MOON,PT_VARIABLE_STAR,
성격,PT_PRIDE_HIGH,PT_PRIDE_LOW,PT_DIGNITY,PT_SELF_DECEIT,
성격,PT_REPRESSED,PT_LIBERATED,PT_MODERATION,PT_DEVIANCE,
성격,PT_HARDY_MIND,PT_WHINY,PT_STEADY_HEART,PT_OVERFLOW,
성격,PT_SUNNY,PT_MOONSTRUCK,PT_SUN_MOON,PT_LUNAR_ECLIPSE,
성격,PT_FIERY,PT_AMOROUS,PT_VENUS_STAR,PT_MARS_STAR,
성격,PT_ROOTED,PT_PASTORAL,PT_JUPITER_STAR,PT_SATURN_STAR,
성격,PT_CHASTITY,PT_CHASTITY_NONE,PT_INTEGRITY,PT_DEBAUCH,
성격,PT_BASHFUL,PT_SHAMELESS,PT_SHAME_SENSE,PT_BRAZEN,
성격,PT_SENSITIVE,PT_UNFEELING,PT_WARMTH,PT_COLDBLOOD,
신체,BT_TALL,BT_PETITE,BT_FLEX_BODY,BT_UNEVEN_BODY,
신체,BT_FLAT,BT_HUGE_BUST,BT_HARMONY_BODY,BT_DISHARMONY,
신체,BT_WILD_BLOOD,BT_TAME_BLOOD,BT_RECONCILED_BEAST,BT_KIN_STRIFE,
성격,PT_RISING_SNAKE,PT_FALLING_SNAKE,PT_TWIN_SERPENT,PT_TANGLED,
성인,AT_WHITE_ROSE,AT_RED_ROSE,AT_ROSE_GARDEN,AT_FALLEN_PETAL,
