; 유닛 데이터 (units.json → units.csv)
; combatTraits/personalityTraits: 세미콜론 구분 ID 목록

[units]
id,name,level,sigil,sigilName,category,primaryElement,secondaryElement,acquisition,hp,atk,def,spd,combatTraits,personalityTraits,adultTrait,habitat,appearance
UNIT_THORN_IMP,가시 임프,3,1,백양(白羊),요괴,위,열,기초풀,106,24,18,18,CT_PIERCE,PT_FEARLESS,AT_INEXPERIENCED,1~3층 석굴 구역,작은 뿔과 등에 가시 돋친 소녀형. 장난기 가득한 눈/ 짧은 꼬리
UNIT_FROST_LIZARD_GIRL,서리 도마뱀 소녀,8,1,백양(白羊),야수,열,위,조우,96,30,24,34,CT_COLD_RADIATION,PT_WILDNESS,AT_HYPOTHERMIA,4~7층 결빙 경계 구역,파란 비늘이 팔다리에 부분적으로 나 있는 소녀형. 체온이 극도로 낮고 입김이 하얗게 서림
UNIT_SLAG_GOLEM,슬래그 골렘,14,1,백양(白羊),인조,열,동,기초풀,148,42,46,36,CT_HEAT_WALL,PT_DULL,AT_SENSORY_BLOCK,,찌꺼기 금속으로 이루어진 장신의 인형 체형. 관절 틈에서 열기/ 무표정한 얼굴 조각
UNIT_BLADE_FOX,칼날 여우,19,1,백양(白羊),요괴,광,식,조우(조건),138,56,50,50,CT_FLASH_SLASH,PT_VANITY,AT_SHAME_EXCESS,8~12층 기관부,은발에 여우귀/ 꼬리 끝이 면도날처럼 빛남. 날렵하고 자신만만한 표정
UNIT_THUNDER_SPIRIT,폭뢰 정령,24,1,백양(白羊),정령,위,광,조우,148,62,62,62,CT_OVERLOAD,PT_EMOTIONAL_BURST,AT_HYPERSENSITIVITY,10~15층 위험 구역 심부,번개를 두른 반투명 여성형. 몸에서 지속적으로 방전/ 머리카락이 정전기로 퍼져 있음
UNIT_ASH_SHRINE_MAIDEN,잿빛 무녀,34,1,백양(白羊),환상,식,열,합체전용,138,78,78,78,CT_CORROSION_FIELD;CT_ASH_RESIDUE,PT_APATHETIC,AT_SENSORY_CONFUSION,,재색 피부에 기다란 머리카락이 얼굴을 반쯤 가린 여성형. 만진 것이 서서히 부식됨. 형태가 간헐적으로 흔들림
UNIT_THUNDER_HORN_GENERAL,뇌각 장수,43,1,백양(白羊),야수,동,위,조우(희귀),166,100,94,104,CT_CRUSHING_CHARGE;CT_INTIMIDATION,PT_DOMINATION,AT_SADIST,20~25층 심층 구역,거대한 뿔이 달린 장신의 여성형 마수. 체격이 크고 근육질/ 하반신에 갑각
UNIT_MUD_DOLL,진흙 인형,4,2,금우(金牛),인조,동,열,기초풀,128,22,26,16,CT_HARDEN,PT_PASSIVE,AT_PLASTICITY,,점토로 빚은 소녀형. 관절이 부드럽고 표정이 어설프게 새겨져 있음. 만지면 약간 눅눅함
UNIT_MOSS_WOLF,이끼 늑대,9,2,금우(金牛),야수,식,동,조우,98,32,26,36,CT_EROSION_BITE,PT_VIGILANT,AT_NUMB_CONSTITUTION,3~6층 독림 구역 입구,이끼와 덩굴이 체표를 덮은 늑대귀 소녀. 야성적이지만 움직임은 느릿함
UNIT_CRYSTAL_SPIDER,수정 거미,15,2,금우(金牛),요괴,광,동,기초풀,130,48,42,42,CT_BINDING_THREAD,PT_POSSESSIVE,AT_OBSESSIVE_BOND,5~10층 석굴 심부,등에서 수정 거미줄을 뽑아내는 여성형. 손가락이 길고/ 눈이 여럿 (요괴 특유의 이형 포인트)
