; 합성 체인 스테이징 v0.15 — 우화집 분해 실행: 생물 22종 → 뿌리 42(T1 24+T2 18)+재결합 T3 17+2경로 4+모순쌍 3(잎 6). ★치명(독안)·회피(활공·눈치싸움)·도시 생산(야금계)·발효 앵커(취기체질) 보강
; 합성 체인 스테이징 v0.14 — 티어다운 26 선천 편입+전량 배선(B-2 실현 T2 5 + 상위 연결 5 + 2경로 16). T1 증원 1갱도 완료
; 합성 체인 스테이징 v0.13 — 규칙③ 개정(T1/T2 단독 완결 폐지 — 전원 T3+ 참여) 대량 배선: 신규 T3 39·2경로 8·의연/꿋꿋함 정정. 변용 칸=상태 사다리 면제. 병합 후보 별도(새드→S기질·마조→M기질·덩치→거구·빈유→절벽)
; 합성 체인 스테이징 v0.12 — 규칙⑥ 전면 처리(T2 종착 0 달성 목표): 상향 배선 9 + 트리거 해피 B-1 체인 완성 + 순백인형 재배선
; 합성 체인 스테이징 v0.11 — 고아 검증 패스: 진짜 고아 12(미참여+무효과) 중 5 구제(2경로 편입: 달관·침묵·월광용해=원안 복원, 침식물기·침식사=신규). 잔여 7=판정 대기(trait_map 대장)
; 합성 체인 스테이징 v0.10 — PT 순혈도 인하: **행성 극 7 = 기질(PT)+상응 금속(BT) 별-금속 대응 레시피**(해맑음=황금·달뜸=백은·화끈=무쇠·금슬=적동·수더분=진사·목가=주석·토박이=연갑) + 구 4쌍 극 5곳 AT/BT 주입(명랑=회복빠름·음울=회복느림·억압=수치심과잉·해방=과감도·꿋꿋함=강인). 프라이드쌍·엄살=순혈 유지(전부 교차일 필요 없음)
; 합성 체인 스테이징 v0.9 — CT 순혈도 인하(레티어스: 원 설계 의도=영역 교차): 원소 격자 11곳에 교차 재료 주입(금속 5: 진사·연갑·황금·주석·적동×2 / PT 4: 감정폭발·관찰벽·소유욕·유혹 / AT 1: 독감도 / BT 1: 대체형). ★자 격자 뿌리 없음 해소=적동이 뿌리 담당. ⚠T1 재료 4곳=공식상 T2 권장, 잠정 허용
; 합성 체인 스테이징 v0.8 — BT·AT 이관분 공석 사다리 9 채움(금속 재료 배선: 무쇠×2·연갑·적동, 교차 T3 재활용 4: 기록가·화염 단조사·촉매체질·점액 산란). 효과 저작=상향식 원칙(레티어스: T1/T2 작은 효과 먼저 확정→합치며 올리면서 밸런스)
; 합성 체인 스테이징 v0.7 — 승격 7쌍 극 전원 T3 통일(구 4쌍 극 8 레시피 신설). 원본 16쌍=낮은 모순층(극 T1~T2→잎 T3) 유지, 승격 7쌍=높은 층(극 T3→잎 T4). 정합 교체: 해맑음 재료 명랑→낙관, 여왕 재료 프라이드높음→오만
; 합성 체인 스테이징 v0.6 — 행성 극=T3 확정(레티어스 정정: 베이스→행성 극 T3 합성→모순 발동→별 잎 T4 사다리 완성). 극 레시피 7 잠정 + 승격 후보 3쌍 대기
; 합성 체인 스테이징 v0.5 — PT 무게=티어 명명 체계(레티어스): 일상어 극=T2/고전 성명 잎=T4. 모순 승격 6→7쌍(행성 3쌍 편입, 미선정 해소). 잎 14 전부 천문 결 세트
; 합성 체인 스테이징 v0.4 (2026-07-17) — BT T4 확장(레티어스: 신체=도시 배치 연동 강화): 4→13석(+전투2·방어1·조교2·탐사생활3·재생1, 전부 공석). 공식: T3=베이스2(비대칭)/T4=T3+T2(최대)/T5=합성 불가
; CT 재작업: 불괴 중간=부동성채(교차 재활용, 성채 폐기). PT 모순 승격=모순 발동 문법(합성 아님). 신규 T3 잠정명·잎 미확정=채움 대기 목록 참조(뷰어 상단)
cat|lane|face|fruit|tier|chain|status|note
CT|공격 물리|단면|회색 늑대|T4|과부하 + 업화 => 임계폭발(T3) / 임계폭발 + 분쇄돌진 => 회색 늑대(T4)|확정|임계폭발 T3 강등 재활용. AP 전소비+다음 라운드 탈진. AI=조건부 오버라이드
CT|원소 열|주입|살라만더|T4|협격 + 업화 => 달굼불(T3) / 달굼불 + 진사 => 살라만더(T4)|잠정|교차: 진사(BT 열 금속) — 붉은 돌을 삼켜 불 속에 사는 몸
CT|원소 열|해방|화산|T4|냉기방사 + 내열벽 => 열폭주(T3) / 열폭주 + 감정폭발 => 화산(T4)|잠정|교차: 감정폭발(PT ⚠T1 — 공식상 T2 권장·잠정 허용) — 감정이 터지며 열이 방출
CT|원소 위|주입|천근추|T4|심압 + 석화시선 => 석압(T3) / 석압 + 연갑 => 천근추(T4)|잠정|교차: 연갑(BT 납 금속·위 슬롯) — 납의 무게를 싣는다
CT|원소 위|해방|붕성추|T4|찌르기 + 과부하 => 관통파(T3) / 관통파 + 대체형 => 붕성추(T4)|잠정|교차: 대체형(BT ⚠T1) — 거체의 중량을 실은 파열
CT|원소 광|주입|집광진|T4|집속광 + 봉인광 => 정광(T3) / 정광 + 관찰벽 => 집광진(T4)|잠정|교차: 관찰벽(PT ⚠T1) — 보는 눈이 빛을 모은다
CT|원소 광|해방|백야|T4|섬광참 + 반사 => 난반사(T3) / 난반사 + 황금 => 백야(T4)|잠정|교차: 황금(BT 금 금속·광 슬롯) — 바래지 않는 빛의 방출
CT|원소 동|주입|공진파|T4|잔향 + 진혼가 => 공명(T3) / 공명 + 주석 => 공진파(T4)|잠정|교차: 주석(BT 금속·동 슬롯) — 우는 금속(tin cry)과 공명
CT|원소 동|해방|천붕|T4|지진 + 분쇄돌진 => 진격(T3) / 진격 + 부동 => 천붕(T4)|잠정|충격파 — 전체 밀쳐냄/스턴 결
CT|원소 식|주입|치명독|T4|부식장 + 산호침식 => 영역부식(T3) / 영역부식 + 독감도 => 치명독(T4)|승격 재배치|교차: 독감도(AT) — 독을 아는 감각이 전투 독을 벼림. 기존 레시피(독무+마비독) 대체
CT|원소 식|해방|녹사자|T4|부식장 + 포자확산 => 부식운(T3) / 부식운 + 소유욕 => 녹사자(T4)|잠정|교차: 소유욕(PT ⚠T1) — 삼켜 제 것으로 만드는 부식(팔레트 ☆)
CT|원소 자|주입|자심(磁心)|T4|적동 + 유혹 => 자장(T3) / 자장 + 위압 => 자심(磁心)(T4)|잠정|★뿌리 없음 해소(2026-07-17): 적동(BT 자 금속)이 자 뿌리 담당 — 신규 뿌리 불요. 교차: BT+PT. 자화=끌어당김·어그로 결
CT|원소 자|해방|척력장|T4|적동 + 결정반사 => 척력(T3) / 척력 + 결계 => 척력장(T4)|잠정|★뿌리 없음 해소: 적동+결정반사(되튕김) — 밀쳐냄·접근 거부
CT|제어|단면|완전속박|T4|결속사 + 마비촉수 => 구속망(T3) / 구속망 + 봉인술 => 완전속박(T4)|승격 재배치|기존 레시피(결속사+마비촉수 직행) → 구속망(신규 T3) 삽입
CT|치명|단면|해부학적 약점|T4|해체분석 + 정밀절개 => 해부학(T3) / 해부학 + 약점감지 => 해부학적 약점(T4)|승격 재배치|개명 후보: 바실리스크. 해부학(신규 T3) 삽입
CT|방어|단면|불괴|T4|철벽 + 완고 => 부동성채(T3) / 부동성채 + 결정방벽 => 불괴(T4)|승격 재배치|부동성채(교차 T3: 철벽+완고) 재활용 — 성채 신규안 폐기. 라운드 이월 대가 문법 원조
